,accuracy,loss,val_accuracy,val_loss
0,0.601544201374054,0.6546690464019775,0.6181818246841431,0.6861128211021423
1,0.7072999477386475,0.5685287714004517,0.6545454263687134,0.6455519199371338
2,0.766963005065918,0.5175198316574097,0.6818181872367859,0.6087470054626465
3,0.7814693450927734,0.48731669783592224,0.7090908885002136,0.5805948376655579
4,0.7983154058456421,0.45851626992225647,0.7090908885002136,0.5615140199661255
5,0.8074403405189514,0.4406357407569885,0.7272727489471436,0.5442577600479126
6,0.8214787244796753,0.42025840282440186,0.7272727489471436,0.5304056406021118
7,0.8259242177009583,0.41089439392089844,0.7454545497894287,0.5175377130508423
8,0.828731894493103,0.3975602984428406,0.7454545497894287,0.5085011720657349
9,0.8373888731002808,0.39146730303764343,0.7454545497894287,0.49909502267837524
