,accuracy,loss,val_accuracy,val_loss
0,0.6270472407341003,0.7009844183921814,0.5545454621315002,0.77245032787323
1,0.6815629601478577,0.61279296875,0.6000000238418579,0.8157501220703125
2,0.7072999477386475,0.5677317380905151,0.6272727251052856,1.0871694087982178
3,0.7346747517585754,0.5305129885673523,0.6727272868156433,0.5880091786384583
4,0.73958820104599,0.5090750455856323,0.581818163394928,0.8192849159240723
5,0.7896584272384644,0.4492572546005249,0.5909090638160706,0.8501378893852234
6,0.8116518259048462,0.4189780354499817,0.6454545259475708,0.9209016561508179
7,0.8097800612449646,0.4183309078216553,0.6818181872367859,0.8362442255020142
8,0.8268600702285767,0.39460092782974243,0.6272727251052856,0.7511359453201294
9,0.8383247256278992,0.3690553605556488,0.6454545259475708,0.7308327555656433
10,0.8448759913444519,0.3562709391117096,0.8181818127632141,0.44177505373954773
11,0.8649976849555969,0.32746973633766174,0.7909091114997864,0.5290017127990723
12,0.8666354417800903,0.32451456785202026,0.8454545736312866,0.42105692625045776
13,0.8729527592658997,0.297497034072876,0.8181818127632141,0.4815729558467865
14,0.8858212232589722,0.28499728441238403,0.8636363744735718,0.3571482002735138
